MODELLING_ERA5_KWH;START_DATETIME
0;2024-01-01 00:00:00+00:00
0;2024-01-01 01:00:00+00:00
0;2024-01-01 02:00:00+00:00
0;2024-01-01 03:00:00+00:00
0;2024-01-01 04:00:00+00:00
0;2024-01-01 05:00:00+00:00
0;2024-01-01 06:00:00+00:00
0;2024-01-01 07:00:00+00:00
0.020667036;2024-01-01 08:00:00+00:00
0.036202725;2024-01-01 09:00:00+00:00
0.031132519;2024-01-01 10:00:00+00:00
0.021254865;2024-01-01 11:00:00+00:00
0.020989767;2024-01-01 12:00:00+00:00
0.022456667;2024-01-01 13:00:00+00:00
0.011696942;2024-01-01 14:00:00+00:00
0;2024-01-01 15:00:00+00:00
0;2024-01-01 16:00:00+00:00
0;2024-01-01 17:00:00+00:00
0;2024-01-01 18:00:00+00:00
0;2024-01-01 19:00:00+00:00
0;2024-01-01 20:00:00+00:00
0;2024-01-01 21:00:00+00:00
0;2024-01-01 22:00:00+00:00
0;2024-01-01 23:00:00+00:00
0;2024-01-02 00:00:00+00:00
0;2024-01-02 01:00:00+00:00
0;2024-01-02 02:00:00+00:00
0;2024-01-02 03:00:00+00:00
0;2024-01-02 04:00:00+00:00
0;2024-01-02 05:00:00+00:00
0;2024-01-02 06:00:00+00:00
0;2024-01-02 07:00:00+00:00
0.008528097;2024-01-02 08:00:00+00:00
0.02592095;2024-01-02 09:00:00+00:00
0.018349817;2024-01-02 10:00:00+00:00
0.016211455;2024-01-02 11:00:00+00:00
0.012506776;2024-01-02 12:00:00+00:00
0.001534095;2024-01-02 13:00:00+00:00
0;2024-01-02 14:00:00+00:00
0;2024-01-02 15:00:00+00:00
0;2024-01-02 16:00:00+00:00
0;2024-01-02 17:00:00+00:00
0;2024-01-02 18:00:00+00:00
0;2024-01-02 19:00:00+00:00
0;2024-01-02 20:00:00+00:00
0;2024-01-02 21:00:00+00:00
0;2024-01-02 22:00:00+00:00
0;2024-01-02 23:00:00+00:00
0;2024-01-03 00:00:00+00:00
0;2024-01-03 01:00:00+00:00
0;2024-01-03 02:00:00+00:00
0;2024-01-03 03:00:00+00:00
0;2024-01-03 04:00:00+00:00
0;2024-01-03 05:00:00+00:00
0;2024-01-03 06:00:00+00:00
0;2024-01-03 07:00:00+00:00
0;2024-01-03 08:00:00+00:00
0.006288487;2024-01-03 09:00:00+00:00
0.019476433;2024-01-03 10:00:00+00:00
0.013736689;2024-01-03 11:00:00+00:00
0.022651911;2024-01-03 12:00:00+00:00
0.014056564;2024-01-03 13:00:00+00:00
0.003881977;2024-01-03 14:00:00+00:00
0;2024-01-03 15:00:00+00:00
0;2024-01-03 16:00:00+00:00
0;2024-01-03 17:00:00+00:00
0;2024-01-03 18:00:00+00:00
0;2024-01-03 19:00:00+00:00
0;2024-01-03 20:00:00+00:00
0;2024-01-03 21:00:00+00:00
0;2024-01-03 22:00:00+00:00
0;2024-01-03 23:00:00+00:00
0;2024-01-04 00:00:00+00:00
0;2024-01-04 01:00:00+00:00
0;2024-01-04 02:00:00+00:00
0;2024-01-04 03:00:00+00:00
0;2024-01-04 04:00:00+00:00
0;2024-01-04 05:00:00+00:00
0;2024-01-04 06:00:00+00:00
0;2024-01-04 07:00:00+00:00
0.00695418;2024-01-04 08:00:00+00:00
0.033682269;2024-01-04 09:00:00+00:00
0.053091523;2024-01-04 10:00:00+00:00
0.080323159;2024-01-04 11:00:00+00:00
0.065416719;2024-01-04 12:00:00+00:00
0.036159652;2024-01-04 13:00:00+00:00
0.008057921;2024-01-04 14:00:00+00:00
0;2024-01-04 15:00:00+00:00
0;2024-01-04 16:00:00+00:00
0;2024-01-04 17:00:00+00:00
0;2024-01-04 18:00:00+00:00
0;2024-01-04 19:00:00+00:00
0;2024-01-04 20:00:00+00:00
0;2024-01-04 21:00:00+00:00
0;2024-01-04 22:00:00+00:00
0;2024-01-04 23:00:00+00:00
0;2024-01-05 00:00:00+00:00
0;2024-01-05 01:00:00+00:00
0;2024-01-05 02:00:00+00:00
0;2024-01-05 03:00:00+00:00
0;2024-01-05 04:00:00+00:00
0;2024-01-05 05:00:00+00:00
0;2024-01-05 06:00:00+00:00
0;2024-01-05 07:00:00+00:00
0.01165109;2024-01-05 08:00:00+00:00
0.092389621;2024-01-05 09:00:00+00:00
0.16166687;2024-01-05 10:00:00+00:00
0.135405512;2024-01-05 11:00:00+00:00
0.056092514;2024-01-05 12:00:00+00:00
0.041865555;2024-01-05 13:00:00+00:00
0.006992821;2024-01-05 14:00:00+00:00
0;2024-01-05 15:00:00+00:00
0;2024-01-05 16:00:00+00:00
0;2024-01-05 17:00:00+00:00
0;2024-01-05 18:00:00+00:00
0;2024-01-05 19:00:00+00:00
